fecha,tipo,sesiones,paginas_leidas
2024-06-18,novela,0,0
2024-06-19,comic,0,0
2024-06-19,cuentos,0,0
2024-06-19,manga,0,0
2024-06-19,novela,0,0
2024-06-20,comic,0,0
2024-06-20,cuentos,0,0
2024-06-20,manga,0,0
2024-06-20,novela,0,0
2024-06-21,comic,0,0
2024-06-21,cuentos,0,0
2024-06-21,manga,0,0
2024-06-21,novela,0,0
2024-06-22,comic,0,0
2024-06-22,cuentos,0,0
2024-06-22,manga,0,0
2024-06-22,novela,0,0
2024-06-23,comic,0,0
2024-06-23,cuentos,0,0
2024-06-23,manga,0,0
2024-06-23,novela,0,0
2024-06-24,comic,0,0
2024-06-24,cuentos,0,0
2024-06-24,manga,0,0
2024-06-24,novela,0,0
2024-06-25,comic,0,0
2024-06-25,cuentos,0,0
2024-06-25,manga,0,0
2024-06-25,novela,0,0
2024-06-26,comic,0,0
2024-06-26,cuentos,0,0
2024-06-26,manga,0,0
2024-06-26,novela,0,0
2024-06-27,comic,0,0
2024-06-27,cuentos,0,0
